base_hp_config,subject,pool_type,train_loss_mean,train_acc_mean,val_loss_mean,val_acc_mean,test_loss_mean,test_acc_mean,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std
bs128_lr0.0001_distCOV_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,2,single,0.6425112307071685,0.7693333333333333,1.4775545835494994,0.388,1.0781446933746337,0.584,0.5880686318197766,0.3678798112910731,0.15426454536221795,0.15401298646542766,0.311920869543629,0.23168944732119326
bs128_lr0.0001_distCOV_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,3,pooled,0.7329114019870758,0.7448333333333333,1.5333845376968385,0.324,1.5702713966369628,0.316,0.5235063731055926,0.31215169478244953,0.05487369691196097,0.074027022093287,0.07400965581613435,0.0763544366752843
bs128_lr0.0001_distCOV_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,3,single,0.9253049492835999,0.737,1.550022339820862,0.33399999999999996,1.5469661474227905,0.358,0.1959708673627782,0.11924181779523117,0.07592509575302049,0.041593268686170824,0.053203510799412435,0.061400325732035
bs128_lr0.0001_distCOV_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,4,pooled,1.4234730362892152,0.3295,1.6030348300933839,0.22800000000000004,1.650058341026306,0.21600000000000003,0.44087919260987923,0.28911478881425473,0.009741852038528334,0.052630789467763076,0.08933601345108635,0.02073644135332772
bs128_lr0.0001_distCOV_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,4,single,1.366451722383499,0.374,1.6066993951797486,0.23399999999999999,1.6627381086349486,0.194,0.5511886421132604,0.32894106192785094,0.009073301142421603,0.04393176527297758,0.1012388024601959,0.07300684899377592
bs128_lr0.0001_distCOV_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,5,pooled,1.4600616693496704,0.352,1.5858720779418944,0.242,1.6306572198867797,0.20800000000000002,0.22465826673940598,0.17982184256015285,0.010557594381699979,0.058906705900092574,0.04419472591899108,0.02167948338867881
bs128_lr0.0001_distCOV_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,5,single,1.5886536836624146,0.2463333333333333,1.6047410726547242,0.20600000000000002,1.6062766075134278,0.22200000000000003,0.07009359512635574,0.04520631715934302,0.005823349688728027,0.03974921382870358,0.005041646590882833,0.01643167672515498
bs128_lr0.0001_distCOV_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,6,pooled,0.8141234040260314,0.8817777777777778,1.2316548585891725,0.51,1.5069723844528198,0.446,0.35499700742056506,0.039989196071803346,0.14633525146147422,0.0659545297913646,0.12454642335842565,0.0568330889535313
bs128_lr0.0001_distCOV_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,6,single,0.1896949380636215,0.9846666666666666,1.1557961463928224,0.542,1.5473942756652832,0.43600000000000005,0.046529038251690406,0.006168918507773952,0.07109001154940969,0.037682887362833525,0.14166974319387265,0.02509980079602225
bs128_lr0.0001_distCOV_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,7,pooled,0.7224856793880463,0.8275555555555556,1.2575151920318604,0.508,1.4463948726654052,0.442,0.3399115320649214,0.07748018464320851,0.03854880993133481,0.034205262752974155,0.09501188972735279,0.03962322551231791
bs128_lr0.0001_distCOV_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,7,single,0.5069774687290192,0.909,1.3783370733261109,0.41600000000000004,1.642242670059204,0.4,0.2830181760830831,0.08203657720797472,0.04432805401365768,0.01949358868961793,0.07908939419838236,0.04301162633521316
bs128_lr0.0001_distCOV_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,8,pooled,1.472734546661377,0.4184444444444445,1.5967264890670776,0.262,1.6235358476638795,0.22599999999999998,0.16818193055762018,0.14819667029464514,0.003654534167486556,0.06723094525588645,0.03217656311567848,0.04827007354458867
bs128_lr0.0001_distCOV_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,8,single,1.5734172105789184,0.2633333333333333,1.605635166168213,0.22400000000000003,1.6037418603897096,0.244,0.09613687350979472,0.10593499054713804,0.004855343334798272,0.020736441353327716,0.0067013655129202045,0.04393176527297759
bs128_lr0.0001_distCOV_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,9,pooled,0.23857882618904108,0.9790000000000001,0.5112434267997742,0.8480000000000001,0.9112977862358094,0.6759999999999999,0.03453242071529654,0.006411794687223717,0.055187109200212504,0.03834057902536161,0.05026504891426639,0.021908902300206656
bs128_lr0.0001_distCOV_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,9,single,0.23857882618904108,0.9790000000000001,0.5112434267997742,0.8480000000000001,0.9112977862358094,0.6759999999999999,0.03453242071529654,0.006411794687223717,0.055187109200212504,0.03834057902536161,0.05026504891426639,0.021908902300206656
bs128_lr0.0001_distCOV_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,10,pooled,0.4564020216464996,0.8839166666666667,1.4445833683013916,0.43599999999999994,1.3492692708969116,0.45600000000000007,0.12924578272056236,0.03333541660156662,0.07117893942602939,0.023021728866442666,0.043904896231985076,0.02190890230020665
