base_hp_config,subject,train_loss_mean_all,train_loss_mean_pooled,train_loss_mean_single,train_acc_mean_all,train_acc_mean_pooled,train_acc_mean_single,val_loss_mean_all,val_loss_mean_pooled,val_loss_mean_single,val_acc_mean_all,val_acc_mean_pooled,val_acc_mean_single,test_loss_mean_all,test_loss_mean_pooled,test_loss_mean_single,test_acc_mean_all,test_acc_mean_pooled,test_acc_mean_single,train_loss_std_all,train_loss_std_pooled,train_loss_std_single,train_acc_std_all,train_acc_std_pooled,train_acc_std_single,val_loss_std_all,val_loss_std_pooled,val_loss_std_single,val_acc_std_all,val_acc_std_pooled,val_acc_std_single,test_loss_std_all,test_loss_std_pooled,test_loss_std_single,test_acc_std_all,test_acc_std_pooled,test_acc_std_single
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,11,0.8695659518241883,0.0183776112273335,0.0183776112273335,0.7127272727272727,1.0,1.0,0.8921581029891967,1.1119175672531127,1.1119175672531127,0.674,0.542,0.542,0.7419138431549073,0.9680217146873474,0.9680217146873474,0.702,0.634,0.634,0.21631890341965596,0.005210976986683384,0.005210976986683384,0.08321755041989623,0.0,0.0,0.04625589708355095,0.04259926752887954,0.04259926752887954,0.040987803063838375,0.01483239697419133,0.01483239697419133,0.05205861574809098,0.09340182172860018,0.09340182172860018,0.03346640106136302,0.04505552130427523,0.04505552130427523
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,1,0.13454405423253774,0.06532320268452164,0.11330061107873915,0.9686060606060606,0.9951666666666666,0.9873333333333333,0.8506454110145569,0.8080602526664734,1.0241735696792602,0.7060000000000001,0.694,0.614,0.7400512337684632,0.6404571294784546,0.8836840748786926,0.726,0.778,0.67,0.26716549633263387,0.07980836850350298,0.1980834780856129,0.07019898256635705,0.007369230323144656,0.02832352771499734,0.08526995065313622,0.0410810397813217,0.07956249132079504,0.03286335345030997,0.030495901363953793,0.013416407864998769,0.0845800330855545,0.07073034172068347,0.050416740996208825,0.01516575088810311,0.029495762407505288,0.01581138830084187
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,2,0.13454405423253774,0.6863482594490051,0.33954620733857155,0.9686060606060606,0.9968888888888889,0.8513333333333334,0.8506454110145569,1.0077221035957336,1.4262712955474854,0.7060000000000001,0.634,0.44800000000000006,0.7400512337684632,0.4394858002662659,1.0360327243804932,0.726,0.852,0.64,0.26716549633263387,0.31859045258830515,0.6862324302309107,0.07019898256635705,0.0012171612389003136,0.33242877265496873,0.08526995065313622,0.09108109342581487,0.12194028066123923,0.03286335345030997,0.05128352561983235,0.12070625501605128,0.0845800330855545,0.03203573868677517,0.383721016109581,0.01516575088810311,0.02280350850198277,0.24799193535274489
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,3,0.13454405423253774,0.5790515124797821,0.40431528687477114,0.9686060606060606,0.8864444444444445,0.9153333333333332,0.8506454110145569,1.4065082311630248,1.4763052463531494,0.7060000000000001,0.42000000000000004,0.36,0.7400512337684632,1.558219313621521,1.4942739009857178,0.726,0.378,0.37,0.26716549633263387,0.3091154736982178,0.5013681244434606,0.07019898256635705,0.15428929057191618,0.1160842605849542,0.08526995065313622,0.09081600661128655,0.025381750155193183,0.03286335345030997,0.057008771254956896,0.010000000000000009,0.0845800330855545,0.021659988168470024,0.07080494284598636,0.01516575088810311,0.08043631020876083,0.07874007874011807
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,4,0.13454405423253774,0.9963863469660282,0.9963863469660282,0.9686060606060606,0.5286666666666667,0.5286666666666667,0.8506454110145569,1.599454402923584,1.599454402923584,0.7060000000000001,0.256,0.256,0.7400512337684632,1.7004695892333985,1.7004695892333985,0.726,0.21000000000000002,0.21000000000000002,0.26716549633263387,0.8612101177907739,0.8612101177907739,0.07019898256635705,0.4315965193969427,0.4315965193969427,0.08526995065313622,0.019947174453308465,0.019947174453308465,0.03286335345030997,0.08561541917201597,0.08561541917201597,0.0845800330855545,0.13130815501428034,0.13130815501428034,0.01516575088810311,0.041833001326703784,0.041833001326703784
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,5,0.13454405423253774,0.8179438710212708,1.5848494529724122,0.9686060606060606,0.7389523809523809,0.25866666666666666,0.8506454110145569,1.408167839050293,1.604275679588318,0.7060000000000001,0.41200000000000003,0.21600000000000003,0.7400512337684632,1.5315660238265991,1.6096477270126344,0.726,0.344,0.22800000000000004,0.26716549633263387,0.2819190633862087,0.03783505567076751,0.07019898256635705,0.12497137994352411,0.04226897995772631,0.08526995065313622,0.04194019559977383,0.007256772976976775,0.03286335345030997,0.053572380943915476,0.015165750888103085,0.0845800330855545,0.06793954643894554,0.0035451845106209408,0.01516575088810311,0.036469165057620954,0.023874672772626643
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,6,0.13454405423253774,0.02487528398632998,0.02487528398632998,0.9686060606060606,1.0,1.0,0.8506454110145569,1.107577657699585,1.107577657699585,0.7060000000000001,0.5700000000000001,0.5700000000000001,0.7400512337684632,1.363663339614868,1.363663339614868,0.726,0.488,0.488,0.26716549633263387,0.009312541122533397,0.009312541122533397,0.07019898256635705,0.0,0.0,0.08526995065313622,0.0629781726147744,0.0629781726147744,0.03286335345030997,0.04690415759823428,0.04690415759823428,0.0845800330855545,0.07976920280446219,0.07976920280446219,0.01516575088810311,0.04024922359499623,0.04024922359499623
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,7,0.13454405423253774,0.7355410575866699,0.02496437337249512,0.9686060606060606,0.9233333333333335,1.0,0.8506454110145569,1.278913712501526,1.283746075630188,0.7060000000000001,0.51,0.49800000000000005,0.7400512337684632,1.4202966213226318,1.3721389055252076,0.726,0.47800000000000004,0.476,0.26716549633263387,0.4391037381843973,0.00847063431558296,0.07019898256635705,0.15493925532125866,0.0,0.08526995065313622,0.08993104656855928,0.13189738848516053,0.03286335345030997,0.07778174593052023,0.09654014708917735,0.0845800330855545,0.08146126100988954,0.1476814991344969,0.01516575088810311,0.016431676725154977,0.044497190922573975
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,8,0.13454405423253774,1.5563856363296509,1.4921288013458252,0.9686060606060606,0.362,0.37266666666666665,0.8506454110145569,1.5961840152740479,1.6080369710922242,0.7060000000000001,0.264,0.202,0.7400512337684632,1.6108600854873658,1.61400249004364,0.726,0.248,0.2,0.26716549633263387,0.139581536835388,0.16507219782286428,0.07019898256635705,0.08150361652204667,0.22136445564322701,0.08526995065313622,0.0056085355713668865,0.006198747076551309,0.03286335345030997,0.043931765272977596,0.033466401061363026,0.0845800330855545,0.024283209416990182,0.014619063133329621,0.01516575088810311,0.019235384061671357,0.023452078799117138
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,9,0.13454405423253774,0.020092735998332438,0.01754171252250668,0.9686060606060606,1.0,1.0,0.8506454110145569,0.3524368822574615,0.28859867453575133,0.7060000000000001,0.8779999999999999,0.9339999999999999,0.7400512337684632,1.0410203099250794,0.7575796246528625,0.726,0.602,0.736,0.26716549633263387,0.008751836472403497,0.002741078529875408,0.07019898256635705,0.0,0.0,0.08526995065313622,0.03598442318304062,0.06134974180480384,0.03286335345030997,0.021679483388678818,0.025099800796022247,0.0845800330855545,0.08110212037379733,0.08264425945126773,0.01516575088810311,0.021679483388678835,0.05549774770204643
