base_hp_config,subject,pool_type,run_id,pool_size,pool,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,6,single,12,1,6,0.0461695939302444,0.9933333333333332,0.9306904077529908,0.63,1.4834522604942322,0.5
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,6,single,13,1,6,0.0284117683768272,0.9966666666666668,1.0651788711547852,0.56,1.3272327184677124,0.51
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,6,single,14,1,6,0.0610615648329257,0.995,0.9492102265357972,0.63,1.2317747473716736,0.53
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,6,pooled,10,3,6_5_4,0.0847902297973632,0.885,0.6807612180709839,0.74,1.1789932250976562,0.57
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,6,pooled,11,3,6_5_4,0.2816881239414215,0.8394444444444444,0.8793711066246033,0.68,1.1192887425422668,0.58
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,6,pooled,12,3,6_5_4,1.170061469078064,0.7111111111111111,0.9013426303863524,0.63,1.2225404977798462,0.54
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,6,pooled,13,3,6_5_4,0.9645422101020812,0.8016666666666666,0.9786784648895264,0.61,1.6295350790023804,0.43
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,6,pooled,14,3,6_5_4,0.7885538339614868,0.9322222222222222,0.8734363317489624,0.67,1.014455258846283,0.57
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,7,single,10,1,7,0.627494752407074,0.8366666666666667,1.3690197467803955,0.42,2.028286099433899,0.41
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,7,single,11,1,7,0.3029777705669403,0.9316666666666666,1.3188053369522097,0.51,1.3053637146949768,0.54
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,7,single,12,1,7,0.0507991276681423,0.9833333333333332,1.3696284294128418,0.46,1.568250060081482,0.46
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,7,single,13,1,7,0.0936270952224731,0.9766666666666668,1.3818877935409546,0.36,1.587064564228058,0.43
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,7,single,14,1,7,0.0572768561542034,0.9933333333333332,1.4013652801513672,0.4,1.5185442566871643,0.46
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,7,pooled,10,3,7_11_3,0.758998692035675,0.6372222222222222,1.0788885354995728,0.54,1.313889741897583,0.52
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,7,pooled,11,3,7_11_3,0.4938715100288391,0.665,1.1501847505569458,0.6,1.287049949169159,0.54
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,7,pooled,12,3,7_11_3,0.6106190085411072,0.9127777777777778,1.2437766790390017,0.49,1.455171823501587,0.56
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,7,pooled,13,3,7_11_3,1.164395093917847,0.6116666666666667,1.179269552230835,0.54,1.511060655117035,0.49
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,7,pooled,14,3,7_11_3,0.6816785335540771,0.6533333333333333,1.0915179252624512,0.52,1.3407157063484192,0.47
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,8,single,10,1,8,1.6458908319473269,0.24,1.607755422592163,0.24,1.6119219660758972,0.24
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,8,single,11,1,8,1.442583441734314,0.35,1.600988507270813,0.26,1.6037527918815613,0.2
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,8,single,12,1,8,1.68419349193573,0.1916666666666666,1.6084598302841189,0.24,1.608376383781433,0.24
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,8,single,13,1,8,1.6599200963974,0.1616666666666666,1.6107306480407717,0.19,1.611202359199524,0.23
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,8,single,14,1,8,1.6552958488464355,0.24,1.6103432178497314,0.16,1.6113633513450625,0.17
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,8,pooled,10,7,8_11_10_5_3_4_9,1.3718340396881104,0.4323809523809523,1.565897822380066,0.27,1.6216022372245789,0.3
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,8,pooled,11,7,8_11_10_5_3_4_9,1.555690050125122,0.2926190476190476,1.5972349643707275,0.22,1.679152488708496,0.26
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,8,pooled,12,7,8_11_10_5_3_4_9,1.0913431644439695,0.5876190476190476,1.5515272617340088,0.32,1.6214573979377749,0.23
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,8,pooled,13,7,8_11_10_5_3_4_9,1.5105851888656616,0.4009523809523809,1.5626600980758667,0.29,1.6315168738365171,0.25
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,8,pooled,14,7,8_11_10_5_3_4_9,1.1758698225021362,0.4892857142857142,1.5559499263763428,0.29,1.6133715510368347,0.2
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,9,single,10,1,9,0.0507617741823196,0.9833333333333332,0.3601655960083008,0.87,0.908084899187088,0.65
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,9,single,11,1,9,0.0963506028056144,0.9883333333333332,0.3286280035972595,0.89,0.7827832996845245,0.68
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,9,single,12,1,9,0.0439285635948181,0.995,0.3377168476581573,0.85,0.916060745716095,0.68
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,9,single,13,1,9,0.0404130592942237,0.9933333333333332,0.3373346328735351,0.85,1.0999088883399963,0.64
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,9,single,14,1,9,0.0345762856304645,0.9916666666666668,0.3256942927837372,0.85,0.8203672170639038,0.71
